Nas,Clatell,Espatlla dreta,Colze dret,Canell dret,Espatlla esquerra,Colze esquerre,Canell esquerre,Cadera centre,Cadera banda dreta,Genoll dret,Turmell dret,Cadera banda esquerra,Genoll esquerre,Turmell esquerre,Ull dret,Ull esquerre,Orella dreta,Orella esquerre,Dit gros esquerre,Dit petit esquerre,Taló esquerre,Dit gros dret,Dit petit dret,Taló dret
"[0.0005307973060659787, -0.5248609030805093]","[0.0019638270776171315, -0.36075685833373283]","[8.336734877592018e-05, -2.473677051825105]","[0.0004476560087695222, -3.0451489341802587]","[-0.00010828495226791914, -2.9635416401417047]","[0.0007548024384074206, 1.8350401307508246]","[-8.100865374487176e-05, 2.9746971232390624]","[1.7672294469502838e-05, 2.8100760847647375]","[0.0009958206656370799, -0.03522614240631187]","[-0.0019391760638243812, -1.3379503489576632]","[-0.0022919131822392736, -1.4187023050693375]","[-0.00023491968706203651, -1.3389715418842143]","[-0.0003651204894551258, 1.3447907588349859]","[-0.0015367296475446608, 1.8364863863479635]","[-0.0001662546065617181, 2.0812646722922823]","[0.0004577877871255943, -1.092147079115372]","[0.0009718466586253566, -0.03773481774420602]","[0.0006800223803243335, -1.660526950405214]","[0.0013538934652635147, 0.6121116077701824]","[0.0010501465078008106, 3.1355527793494082]","[-0.0010721801594011937, 3.3799614455801725]","[-0.0003674907721234277, 1.8361764744342908]","[-0.0005937060704203185, -1.9098392381691345]","[-3.279408704338115e-05, -2.4745992056232806]","[-0.0005180615671938523, -1.1724744464278865]"
"[0.0005447730291596622, -0.5548910373796981]","[0.0017100401135805526, -0.315346675364672]","[0.0003918343132859664, -2.422462071003283]","[0.0005172445215864141, -3.066959538281706]","[-9.031645833294266e-06, -2.987305870349831]","[0.000861196336106283, 1.8742225076589403]","[-0.0003935100289606113, 3.0093251821635483]","[-0.00022344014725938626, 2.7697260269878337]","[0.0011168408609581425, 0.008520109756773767]","[-0.00196334349288604, -1.2900159200824104]","[-0.002236731768740154, -1.449700195103312]","[-0.0003518385534226896, -1.368116012966827]","[-0.00044061819792422257, 1.3837670369149824]","[-0.0015557640061817219, 1.7134102492955852]","[-0.0004175742935653435, 2.1186840834909444]","[0.0002636674716992536, -1.1228589915951697]","[0.0015687359031864717, -0.07375040395282048]","[0.0001781186604535776, -1.691965793314266]","[0.0016410144958278513, 0.5744238733497483]","[0.0012186831462562711, 3.0913769955852213]","[-0.00092329287747841, 3.4127209335408186]","[-0.00012580292706125643, 1.874579607913084]","[-0.0007615067341564937, -1.9377589374219724]","[-4.5049624457483425e-05, -2.424301420725023]","[-0.0005646445541733323, -1.1253237391164945]"
"[0.0004974328479625611, -0.5447503923817579]","[0.0016825917222848573, -0.3053837343361402]","[0.0005693050219976918, -2.41034074310525]","[0.0005562747332879364, -3.054694453221234]","[-4.652132050555301e-05, -2.9750139740945607]","[0.0010288444185888594, 1.882176963402965]","[-0.0005271005677358914, 3.016331404626553]","[-0.0006014250247742732, 2.7784162031073705]","[0.0010715814423413806, 0.016257143848431473]","[-0.0021264371345546327, -1.3577194531599646]","[-0.002352325587946575, -1.4393809934383288]","[-6.10063846209965e-05, -1.359670777153553]","[-0.0004243637385632267, 1.3923634877990314]","[-0.0016379571108814893, 1.6407074634629504]","[-2.5249148318705813e-05, 2.127201705800577]","[0.0001272284617402011, -1.1119172964862423]","[0.0016038218108699056, -0.14290509466584855]","[0.00016236801773716165, -1.6795538588813943]","[0.0016143232979714214, 0.5042061468411715]","[0.001087895577689324, 3.096732183805044]","[-0.001142685369582425, 3.4192491281076856]","[-0.0002829186362862388, 1.9614921003015207]","[-0.000634743806736865, -1.924805170102645]","[0.00020509029091522727, -2.41276974970201]","[-0.00034402381287965215, -1.1162282403743513]"
"[0.00022254454302610106, -0.516731838126029]","[0.001566215085695824, -0.3528385510443643]","[0.0007488377369479502, -2.3872363552170777]","[0.0005829397330123601, -3.0329177669778953]","[-7.914302118444287e-06, -2.951753731992241]","[0.0008992405101960606, 1.8410258070031686]","[-0.0005919708531659602, 2.975954980705925]","[-0.00015160188975740752, 2.817165456615682]","[0.0011530813690163004, -0.028245379606186834]","[-0.0021838249280851764, -1.3296954734706072]","[-0.0024349933982507157, -1.4909516585242368]","[-0.00019229709816734352, -1.4109475696729965]","[-0.0005053669667145306, 1.3524934240853517]","[-0.0017738407462699816, 1.7579215845649312]","[-0.0002825332139044699, 2.165070252902658]","[0.00029679071252894325, -1.0853487959533925]","[0.0016932376946721531, -0.19268218430511977]","[0.0001288019574693815, -1.6548165387617935]","[0.0017255338352098937, 0.37871438321822104]","[0.0013326954770747877, 3.1386968437064087]","[-0.0011636891060059782, 3.4615349456261075]","[-0.0002534504126660664, 1.921108488123108]","[-0.0005945757385778257, -1.8993937851636855]","[6.939355556284541e-05, -2.3887281879801545]","[-0.0002832535567286954, -1.0873983497557917]"
"[0.00031949660325161127, -0.4989497561606409]","[0.0016457631815336884, -0.33312816712881765]","[0.0007310944917423576, -2.378418676994725]","[0.0006079407481971159, -2.9500081675601373]","[-0.00021746242172185768, -2.9453760269366223]","[0.0010029822598366473, 1.8721387701475856]","[-0.0005734301029436306, 2.936217166164379]","[-9.498651703568235e-05, 2.8544477444280028]","[0.0011842367426790372, -0.005945745246295045]","[-0.002376996588400252, -1.3153804893296666]","[-0.002657365245703793, -1.5572148871051075]","[-3.818938553059328e-05, -1.3969699574015324]","[-0.000613112035712321, 1.3834169899535396]","[-0.0019153195186880302, 1.7901589264013846]","[-0.00039689724661199385, 2.19860518591523]","[0.0004007126704450418, -1.069969869522998]","[0.0014837039050103194, -0.2517238894683133]","[0.00027845899276478806, -1.7188894486989614]","[0.0020531257394304056, 0.3232309250506062]","[0.0010195432857884046, 3.0971700088286087]","[-0.0009634998664632334, 3.4270584006293285]","[-0.00023420755205508977, 1.9532683566323685]","[-0.0006982221895199764, -1.8882782144719974]","[0.00020306266963020033, -2.4548994604796497]","[-0.000150432619923181, -1.0705597176455608]"
"[0.00038449085624756897, -0.4925889461084356]","[0.0019388982817750804, -0.325733696169692]","[0.0006536309963056585, -2.3796068690493875]","[0.0005831857404930796, -3.0283626890424866]","[-0.0001476721143075401, -2.86839223846357]","[0.0007384598680800757, 1.810355399944565]","[-0.00042320601028243666, 2.95679929767809]","[2.427983513299108e-06, 2.8731584055525516]","[0.001357907039697549, -0.07913613510142835]","[-0.002309823504412865, -1.3921459853981797]","[-0.002600647872469264, -1.474376732134627]","[5.191281513059638e-05, -1.392499836733523]","[-0.00044073887324273716, 1.3168035574078134]","[-0.0019949950004269057, 1.8095692761671267]","[-0.0005159229425992657, 2.218400501828063]","[0.00047123804158510647, -1.0663010268923965]","[0.0013941028334912638, -0.32195705043112316]","[0.0007604569661093708, -1.7162891102519542]","[0.0021167644274204403, 0.3348144586624604]","[0.0006791172956357412, 3.122775657408238]","[-0.0012029061457113435, 3.453544409427574]","[-0.0004169626187685812, 1.9708709728509024]","[-0.0004548974095703436, -1.885081935340442]","[-0.00012585153101214456, -2.379749365938485]","[-0.0004989691226813871, -1.0648703198716574]"
"[0.0002534958499403564, -0.4869413872311595]","[0.001919149834975693, -0.3190902439877477]","[0.000542787287007956, -2.464606476964386]","[0.0005774807254678968, -2.9648185545496486]","[-0.0001748526333813205, -2.7993387401071326]","[0.0006858141917456758, 1.83444301749133]","[-0.0003979383508724978, 2.9895003624387817]","[6.913554666633299e-05, 2.827865464172317]","[0.0013728284139230681, -0.0706009107685783]","[-0.002457577731724468, -1.3930752255699668]","[-0.0026726559679499198, -1.4763970022338344]","[-6.755163148394827e-05, -1.4748969114886221]","[-0.0005365295175747963, 1.3354857540083909]","[-0.002341665958071087, 1.751100038131417]","[-0.0002985253015477685, 2.246757391102563]","[0.00039901026913333166, -1.064776053159177]","[0.0014425447006270358, -0.3149080121927925]","[0.0007541507220397289, -1.720562431098109]","[0.0021644302425477754, 0.34515697343220997]","[0.0007617553821980578, 3.075305745816695]","[-0.0010542205225362866, 3.4888893899139184]","[-0.00021523827291026795, 1.9980844618108187]","[-0.00021254934790131426, -1.8895681575170837]","[-0.00011758427183255808, -2.388713835867154]","[-0.0003956936584866544, -1.0642946555830552]"
"[0.000287513880520285, -0.5456877102544374]","[0.0017076003951959726, -0.37653354839654957]","[0.0007259005672945624, -2.4566071091604957]","[0.00046657181960303143, -2.956154126251821]","[-0.00037610050356460915, -2.705165795683759]","[0.0005238381314961719, 1.8636786357409967]","[-0.0003388768334289034, 2.945888962474122]","[0.00015620024899664053, 2.7798916916429555]","[0.0009645351029648635, -0.1289272552244462]","[-0.0023714706033559924, -1.3765959540597894]","[-0.002687206044116586, -1.4585419696759718]","[-0.0002599167307499012, -1.4589012354952704]","[-0.0006293788208530039, 1.2813813705188595]","[-0.002207728821011163, 1.7803328391496223]","[3.7726050668272696e-05, 2.2797433158621843]","[0.00040553226336657844, -1.1236195568420773]","[0.0015028843945787014, -0.2972239241362721]","[0.0012426052432367872, -1.7059637880810228]","[0.0023807802846775097, 0.3669123516534422]","[0.0010401541349007773, 3.1121292945469157]","[-0.0010835015441868602, 3.5280506556889764]","[-0.0002563241103839252, 2.030178491370589]","[-0.00022505062907231022, -1.8773485936444485]","[-0.00028722121293648295, -2.4542743022637556]","[-0.0007190666638404114, -1.0466427394785396]"
"[0.0003489161077255053, -0.5229864219743264]","[0.0016805459975098012, -0.3533902283299811]","[0.0008372485266631699, -2.4432782671298923]","[0.0003673766430052107, -2.942758565207123]","[-0.0003527144039534488, -2.6911119062640494]","[0.0005800001266544939, 1.8161144229868251]","[-9.967613477108261e-05, 2.986347618279574]","[-0.00014785937655239622, 2.649452383266681]","[8.158657748276289e-05, -0.10446541754088667]","[-0.002414413854336193, -1.4387309499387395]","[-0.0026089853687755776, -1.5226096020761901]","[0.00012196715748442026, -1.440049793610846]","[-0.0005884978828388645, 1.232622177616793]","[-0.002463020864645725, 1.8151667625392915]","[1.797424664127682e-06, 2.3173158825955618]","[0.0007075696561065403, -1.103654172191186]","[0.0015472774464607773, -0.35015222630801807]","[0.0015481715410460984, -1.6882585077989294]","[0.0023996460342107667, 0.3172434816115921]","[0.001055598586365301, 3.1528916447535775]","[-0.0008207952479798137, 3.570442124242033]","[-0.00019514947390203948, 2.0677250825083804]","[-0.0002933488038568923, -1.8597169417888388]","[-0.0005086840260253107, -2.4393295197722793]","[-0.0007845563877416149, -1.0248290604690227]"
"[0.0002607585913653243, -0.5066355229729188]","[0.0015513908196927587, -0.33567711498091796]","[0.0008271617548300033, -2.43896672862901]","[0.00024391605497316719, -2.940996421982019]","[-0.0003704073836946654, -2.6062275853243753]","[0.0006433074347752697, 1.8469454289355747]","[-1.6927255630938786e-05, 3.022654190074944]","[5.381483797942894e-05, 2.43433247738664]","[0.0004236959378107992, -0.08446432501438067]","[-0.0024840052030753092, -1.4273928371967965]","[-0.0027216950439200235, -1.5946111201808317]","[0.0004460522974038617, -1.5103264268670822]","[-0.00044859681833145967, 1.2610156737297955]","[-0.002512247179460047, 1.765843976911478]","[3.3788639759881345e-05, 2.350512180073487]","[0.0005830262173884952, -1.0901708739311544]","[0.0014787744658471724, -0.3322095595960632]","[0.0015670749657712571, -1.6778990014258612]","[0.0023104681264914145, 0.33929286602944037]","[0.0010175009579525378, 3.1916923768800736]","[-0.0006883635421395239, 3.611654146026501]","[-0.00011111050504394214, 2.0985227868899354]","[-0.0008259070996051314, -1.9311930097175167]","[-0.0004566434256340116, -2.434273833322666]","[-0.0008048276455063331, -1.0114217417962756]"
"[0.0001680949445558098, -0.48849999324713017]","[0.0015120370980685129, -0.3155620464992212]","[0.0008808944872352949, -2.424739073482333]","[0.00027215217389567624, -2.927373831749278]","[-0.0005238076827315156, -2.674058044828049]","[0.0005950334232586737, 1.8729120566075168]","[-0.00028163764301330596, 3.0479660240602504]","[0.0001413253530006648, 2.3805532593261756]","[0.0007036851186128189, -0.14734698468385957]","[-0.0024624634578393, -1.4131547158918571]","[-0.002834681319313917, -1.5791694932029627]","[0.00034036873561007927, -1.4962543349792494]","[-0.00022622138817789147, 1.200536509700631]","[-0.0023958125598302843, 1.7900714676691207]","[-3.2784308102271624e-05, 2.3752529530198245]","[0.0003891131933949363, -1.0731192654335355]","[0.0014361359446055143, -0.3135300334743317]","[0.0016137132537805414, -1.6619158893599058]","[0.0023479884516796365, 0.35911337415481126]","[0.0012204145066374895, 3.138260598005931]","[-0.0005155788455822713, 3.639378950608961]","[-0.0002562535776013616, 2.1231430299361564]","[-0.0009915147411998712, -1.9178366953931973]","[-0.00037513287050220377, -2.4212828852253687]","[-0.00072506829044146, -1.0733449356391003]"
"[6.709328018112052e-05, -0.5626884697836767]","[0.0014099944319902525, -0.31005703179524496]","[0.0009271247763121628, -2.4202856568113837]","[0.00032710237851488487, -2.9237739956266005]","[-0.00043864608989636894, -2.6694362719058162]","[0.0005638936387302498, 1.7992342408574231]","[-0.00021345895364765547, 2.9795990099434957]","[-0.0004129415167824715, 2.388529847837113]","[0.0005390473871824807, -0.14079299612839136]","[-0.002432639293178161, -1.4067666623182549]","[-0.0027666865384932, -1.5717426423590266]","[4.549042923295597e-05, -1.4918712844732327]","[-0.00015164733364578874, 1.2075650553942245]","[-0.0023052902662644738, 1.7974106019480827]","[3.967302295347598e-05, 2.3843267382345408]","[0.0005018556903601079, -1.0681585551358073]","[0.001445169312886851, -0.30799132126977524]","[0.001690566805207731, -1.6573918028959262]","[0.0022979659733811646, 0.3653600945341571]","[0.001337392894736419, 3.2280018054205546]","[-0.0003943720413803002, 3.6493802376726263]","[-5.949716309144104e-05, 2.1313005221946524]","[-0.0009621781303832209, -1.9135566026483894]","[-0.00044452007826791776, -2.417468198528725]","[-0.0006104926166388713, -1.068726662356622]"
"[0.00010311107070242316, -0.5615821404183201]","[0.001187933373161372, -0.307599519020444]","[0.0007983538513505385, -2.4205753639673495]","[0.00023871517930720005, -2.9240562200331803]","[-0.00037118487716640525, -2.6716587245873265]","[0.0005494224433742681, 1.8045402371525125]","[3.66370181578293e-05, 2.9854812031705795]","[-0.00040222409655129963, 2.395727789239439]","[0.0006337594403586074, -0.13835400304536705]","[-0.002399156429460903, -1.406140985464288]","[-0.0028531245847811244, -1.5717534498080938]","[0.00013952953771382727, -1.4900911838057234]","[-0.00019282151341047592, 1.212254949687084]","[-0.0022272433599571186, 1.8036638193906438]","[-3.300982990647199e-05, 2.3920824421850213]","[0.0002996121047590233, -1.0672383027471957]","[0.001396746160223146, -0.3051242044326293]","[0.001711680936576691, -1.6581135510862057]","[0.0023278843185726454, 0.3698158355915397]","[0.0013513059264781387, 3.238357728302214]","[-0.0006383644221356766, 3.660983881757924]","[-0.0002254841128826563, 2.0568344510439376]","[-0.0008690236786206134, -1.9132066951026563]","[-0.0003022719121711492, -2.4180611958423928]","[-0.0002607825436918264, -1.0661867981597235]"
"[-0.00014474437030492516, -0.5467128718859355]","[0.0011635183085585217, -0.2930440391082426]","[0.0006371473857006307, -2.400484999152406]","[0.0002330760414113536, -2.9047519295008475]","[-0.00022544938406755506, -2.735265305315065]","[0.0004948723338882871, 1.81419426615157]","[0.00016851586391336283, 2.989901149803692]","[8.269790336978491e-05, 2.4036390141898587]","[0.0006352009199251658, -0.12480180362249356]","[-0.002325279603510213, -1.3889863921914842]","[-0.002911287515934749, -1.5555524321727714]","[0.00013700822785517233, -1.5535180332964544]","[-0.00027672165020325084, 1.2214874139816474]","[-0.0021800795819555165, 1.8123600686118515]","[-5.999500126289494e-05, 2.3999480473910992]","[0.0003865631577767077, -1.0515352628055277]","[0.001337705431956996, -0.29104840470641413]","[0.0017104656076838828, -1.6414373335048695]","[0.0023257653861651936, 0.3815819614467465]","[0.0011540658260654588, 3.1618505448433663]","[-0.0005370707918574605, 3.664111536309419]","[-0.00029598025668181686, 2.0660239944940395]","[-0.000795137077048274, -1.9766180423407251]","[-0.0003383894428118506, -2.3999467127155225]","[-0.00037646771863202407, -1.051394434904538]"
